Date, Time, Inside, Outside, short1, short2, Crawlspace
07/04/2015,21:00:01,82.8,78.1,79.5,80.6,79.4
07/04/2015,22:00:01,82.5,76.6,79.1,80.0,78.8
07/04/2015,23:00:01,82.0,75.5
07/04/2015,23:14:31,82.1,75.4,78.5,79.3,78.1
07/05/2015,12:00:02,80.9,75.4
07/05/2015,13:00:02,81.6,76.9
07/05/2015,14:00:01,82.4,78.6
07/05/2015,15:00:02,83.3,79.8
07/05/2015,16:00:01,83.8,81.1,80.2,81.2,80.5
07/05/2015,17:00:02,84.0,82.8,80.9,81.7,80.9
07/05/2015,18:00:01,84.3,83.1,81.5,80.0,81.6
07/05/2015,19:00:02,85.2,83.9,81.6,79.7,82.0
07/05/2015,20:00:02,85.2,83.9,81.2,79.6,81.3
07/05/2015,21:00:01,84.3,78.1,80.9,79.5,81.1
07/05/2015,22:00:02,84.1,74.9,80.7,79.4,81.1
07/05/2015,23:00:02,83.9,74.8,80.6,79.1,80.6
07/06/2015,00:00:02,83.6,74.8,80.4,79.0,80.5
07/06/2015,01:00:01,83.4,73.8,80.3,78.9,80.3
07/06/2015,02:00:02,83.2,72.3,80.0,78.7,80.2
07/06/2015,03:00:02,83.0,71.5,79.8,78.5,79.8
07/06/2015,04:00:01,82.6,70.7,79.6,78.2,79.6
07/06/2015,05:00:01,82.4,69.7,79.5,78.1,79.4
07/06/2015,06:00:02,82.2,68.8,79.3,78.0,79.0
07/06/2015,07:00:02,81.8,67.9,78.9,77.7,78.8
07/06/2015,08:00:01,81.5,67.3,78.7,77.6,78.6
07/06/2015,09:00:01,81.4,67.0,78.6,77.5,78.3
07/06/2015,10:00:02,80.9,66.9,78.3,77.2,78.1
07/06/2015,11:00:02,80.8,67.1,78.1,77.0,77.9
07/06/2015,12:00:01,80.6,68.1,78.0,76.8,77.8
07/06/2015,13:00:01,80.3,68.8,77.8,76.7,77.7
07/06/2015,14:00:01,79.9,68.8,77.8,76.6,77.6
07/06/2015,15:00:02,79.5,68.3,77.5,76.3,77.3
07/06/2015,16:00:01,76.7,67.7,77.2,76.2,77.1
07/06/2015,17:00:01,75.9,67.7,77.1,76.0,76.7
07/06/2015,18:00:01,76.3,66.5,76.8,75.8,76.4
07/06/2015,19:00:02,78.5,64.7,76.7,75.7,76.3
07/06/2015,20:00:01,78.7,65.0,76.4,75.4,76.2
07/06/2015,21:00:02,78.3,63.5,76.3,75.3,76.2
07/06/2015,22:00:01,77.6,61.3,76.2,75.1,75.9
07/06/2015,23:00:01,76.9,59.9,75.9,74.9,75.5
07/07/2015,00:00:01,76.8,58.5,75.7,74.6,75.2
07/07/2015,01:00:02,76.2,57.1,75.3,74.4,74.9
07/07/2015,02:00:01,75.0,56.1,75.0,74.1,74.5
07/07/2015,03:00:01,75.3,54.8,74.6,73.8,74.2
07/07/2015,04:00:02,74.5,54.3,74.3,73.5,73.8
07/07/2015,05:00:02,73.3,53.6,74.0,73.2,73.5
07/07/2015,06:00:01,72.4,53.2,73.5,72.7,73.0
07/07/2015,07:00:02,71.8,53.3,73.2,72.4,72.6
07/07/2015,08:00:01,71.4,54.5,72.8,72.1,72.2
07/07/2015,09:00:01,71.2,56.0,72.8,71.8,71.9
07/07/2015,10:00:01,72.4,57.7,72.4,71.7,71.8
07/07/2015,11:00:02,73.5,58.9,72.3,71.6,71.8
07/07/2015,12:00:01,72.7,60.7,72.3,71.6,71.8
07/07/2015,13:00:01,71.7,61.6,72.3,71.5,71.8
07/07/2015,14:00:01,71.5,62.6,72.3,71.5,71.8
07/07/2015,15:00:02,71.4,64.4,72.3,71.4,71.9
07/07/2015,16:00:01,72.7,65.2,72.4,71.5,72.1
07/07/2015,17:00:01,74.2,66.1,72.5,71.6,72.4
07/07/2015,18:00:02,72.5,66.8,72.7,71.6,72.6
07/07/2015,19:00:02,72.2,67.1,72.8,71.7,72.6
07/07/2015,20:00:01,72.4,67.8,73.0,71.7,72.8
